,002_arousal,002_valence,018_arousal,018_valence,014_arousal,014_valence,010_arousal,010_valence,008_arousal,008_valence
107,0.0048828125,0.15869140625,0.0,0.0,0.0,-0.1318359375,-0.0048828125,-0.00732421875,0.0,0.0
108,0.0048828125,0.1708984375,0.0,0.0,-0.00244140625,-0.13427734375,-0.0048828125,-0.00732421875,0.0,0.0
109,0.0048828125,0.17822265625,0.0,0.0,-0.00244140625,-0.13916015625,-0.0048828125,-0.00732421875,0.0,0.0
110,0.0048828125,0.185546875,0.0,0.0,-0.00244140625,-0.14404296875,-0.0048828125,-0.00732421875,0.0,0.0
111,0.0048828125,0.19287109375,0.0,0.0,-0.00244140625,-0.1513671875,-0.0048828125,-0.00732421875,0.0,0.0
112,0.00732421875,0.1953125,0.0,0.0,-0.0048828125,-0.1611328125,-0.0048828125,-0.00732421875,0.0,0.0
113,0.00732421875,0.20263671875,0.0,0.0,-0.0048828125,-0.166015625,-0.0048828125,-0.00732421875,0.0,0.0
114,0.00732421875,0.2099609375,0.0,0.0,-0.0048828125,-0.1708984375,-0.0048828125,-0.00732421875,0.0,0.0
115,0.01220703125,0.22216796875,0.0,0.0,-0.0048828125,-0.17333984375,-0.0048828125,-0.00732421875,0.0,0.0
116,0.01220703125,0.23193359375,0.0,0.0,-0.0048828125,-0.17578125,-0.0048828125,-0.00732421875,0.0,0.0
117,0.0146484375,0.244140625,0.0,0.0,-0.0048828125,-0.17822265625,-0.0048828125,-0.00732421875,0.0,0.0
118,0.0146484375,0.25390625,0.0,0.0,-0.0048828125,-0.1806640625,-0.0048828125,-0.00732421875,0.0,0.0
119,0.0146484375,0.26611328125,0.0,0.0,-0.0048828125,-0.18310546875,-0.0048828125,-0.00732421875,0.0,0.0
120,0.01708984375,0.2783203125,0.0,0.0,-0.0048828125,-0.185546875,-0.0048828125,-0.00732421875,0.0,0.0
121,0.01953125,0.29541015625,0.0,0.0,-0.0048828125,-0.18798828125,-0.0048828125,-0.00732421875,0.0,0.0
122,0.02197265625,0.31005859375,0.0,0.0,-0.0048828125,-0.19287109375,-0.0048828125,-0.00732421875,0.0,0.0
123,0.0244140625,0.3173828125,0.0,0.0,-0.0048828125,-0.1953125,-0.0048828125,-0.00732421875,0.0,0.0
124,0.0244140625,0.3271484375,0.0,0.0,-0.0048828125,-0.2001953125,-0.0048828125,-0.00732421875,0.0,0.0
125,0.02685546875,0.33447265625,0.0,0.0,-0.00732421875,-0.205078125,-0.0048828125,-0.00732421875,0.0,0.0
126,0.029296875,0.3466796875,0.0,0.0,-0.009765625,-0.21240234375,-0.0048828125,-0.00732421875,0.0,0.00732421875
127,0.03173828125,0.35400390625,0.0,0.0,-0.01220703125,-0.22216796875,-0.0048828125,-0.00732421875,0.0,0.0146484375
128,0.03173828125,0.35888671875,0.0,0.0,-0.01220703125,-0.24169921875,-0.0048828125,-0.00732421875,-0.00244140625,0.01953125
129,0.0341796875,0.36376953125,0.0,0.0,-0.01220703125,-0.2587890625,-0.0048828125,-0.00732421875,-0.00244140625,0.02197265625
130,0.0341796875,0.3662109375,0.0,0.0,-0.0146484375,-0.283203125,-0.0048828125,-0.00732421875,-0.0048828125,0.029296875
131,0.0341796875,0.37109375,0.0,0.0,-0.0146484375,-0.30029296875,-0.0048828125,-0.00732421875,-0.00732421875,0.03662109375
132,0.03662109375,0.3759765625,0.0,0.0,-0.009765625,-0.33447265625,-0.0048828125,-0.00732421875,-0.009765625,0.04150390625
133,0.04150390625,0.3857421875,0.0,0.0,-0.0048828125,-0.3662109375,-0.0048828125,-0.00732421875,-0.009765625,0.0537109375
134,0.04638671875,0.39306640625,0.0,0.0,0.0,-0.38330078125,-0.0048828125,-0.00732421875,-0.01220703125,0.0634765625
135,0.0537109375,0.40283203125,0.0,0.0,0.0048828125,-0.40283203125,-0.0048828125,-0.00732421875,-0.01220703125,0.07080078125
136,0.0634765625,0.41748046875,0.0,0.0,0.00732421875,-0.41748046875,-0.0048828125,-0.00732421875,-0.01220703125,0.08056640625
137,0.078125,0.44189453125,0.0,0.0,0.009765625,-0.4248046875,-0.0048828125,-0.00732421875,-0.01220703125,0.09521484375
138,0.087890625,0.458984375,0.0,0.0,0.01220703125,-0.4345703125,-0.0048828125,-0.00732421875,-0.0146484375,0.1123046875
139,0.09521484375,0.47119140625,0.0,0.0,0.01220703125,-0.44189453125,-0.0048828125,-0.00732421875,-0.0146484375,0.11474609375
140,0.1025390625,0.478515625,0.0,0.0,0.0146484375,-0.44677734375,-0.0048828125,-0.00732421875,-0.01220703125,0.11962890625
141,0.12451171875,0.49560546875,0.0,0.0,0.01708984375,-0.45166015625,-0.0048828125,-0.00732421875,-0.01220703125,0.12451171875
142,0.13916015625,0.50537109375,0.0,0.0,0.01953125,-0.45654296875,-0.0048828125,-0.00732421875,-0.01220703125,0.1318359375
143,0.15380859375,0.517578125,0.0,0.0,0.0244140625,-0.46142578125,-0.0048828125,-0.00732421875,-0.009765625,0.13427734375
144,0.166015625,0.52734375,0.0,0.0,0.03173828125,-0.47119140625,-0.0048828125,-0.00732421875,-0.009765625,0.13671875
